,author,category,description,publishedAt,source,title,url
0,Infowars.com,Featured Stories,America's immigration policy 'laughed at all over the world' he says.,"Sun, 24 Jun 2018 17:51:10 +0000",infowars,Trump: We Can’t Let Illegal Migrants ‘Invade Our Country’,https://www.infowars.com/trump-we-cant-let-illegal-migrants-invade-our-country/
1,The American Mirror,Featured Stories,'God is on our side!' she yells to crowd.,"Sun, 24 Jun 2018 17:08:35 +0000",infowars,Maxine Waters Calls For Public Harassment Crusade Against Trump Officials,https://www.infowars.com/maxine-waters-calls-for-public-harassment-crusade-against-trump-officials/
2,Sky News,Featured Stories,Crown Prince Muhammad bin Salman's reformations taking effect.,"Sun, 24 Jun 2018 16:57:50 +0000",infowars,Driving Ban for Women Ends in Saudi Arabia,https://www.infowars.com/driving-ban-for-women-ends-in-saudi-arabia/
3,Daily Mail,Featured Stories,Italy no longer surrendering to EU migrant quotas.,"Sun, 24 Jun 2018 16:45:27 +0000",infowars,"Italy Orders Seven Boats Carrying 1,000 Migrants To Return To Libya",https://www.infowars.com/italy-orders-seven-boats-carrying-1000-migrants-to-return-to-libya/
4,Daily Caller,Featured Stories,Left whipping base up into frenzy over border issue.,"Sun, 24 Jun 2018 16:08:01 +0000",infowars,Protesters Outside Detainment Facility Injure Border Agent Protecting Old Woman,https://www.infowars.com/protesters-outside-detainment-facility-injure-border-agent-protecting-old-woman/
5,Newsmax,Featured Stories,MSM refuses cover historic meeting neutrally.,"Sun, 24 Jun 2018 15:40:10 +0000",infowars,Trump: ‘Fake News Media’ Bias on NKorea Summit ‘Almost Treasonous’,https://www.infowars.com/trump-fake-news-media-bias-on-summit-almost-treasonous/
6,Zero Hedge,Featured Stories,Sweden's love for technology going too far?,"Sun, 24 Jun 2018 15:27:59 +0000",infowars,Why Thousands Of Swedes Are Inserting Microchips Into Themselves,https://www.infowars.com/why-thousands-of-swedes-are-inserting-microchips-into-themselves/
7,The Washington Times,Featured Stories,Trump Derangement Syndrome continues among Hollywood left.,"Sun, 24 Jun 2018 15:20:27 +0000",infowars,Seth Rogan Brags About Refusing to Take Photo with Paul Ryan’s Kids,https://www.infowars.com/seth-rogan-brags-about-refusing-to-take-photo-with-paul-ryans-kids/
8,Washington Examiner,Featured Stories,Obstruction the only tactic the left knows.,"Sun, 24 Jun 2018 15:07:07 +0000",infowars,"Trump To Dems on Immigration: ‘Fix the Laws, Don’t Resist!’",https://www.infowars.com/trump-to-dems-on-immigration-fix-the-laws-dont-resist/
9,Sputnik,Featured Stories,Conflict between Israel and Iran continues on Golan Heights.,"Sun, 24 Jun 2018 14:54:26 +0000",infowars,Video: Israel Fires Patriot Missile At Drone In Syria,https://www.infowars.com/video-israel-fires-patriot-missile-at-drone-in-syria/
10,James George Jatras ,Featured Stories,"Indeed, just having voted for Trump is now reason enough for Americans to be labeled as Nazis.","Sun, 24 Jun 2018 12:41:19 +0000",infowars,Atrocity Porn And Hitler Memes Target Trump For Regime Change,https://www.infowars.com/525354-2/
11,Daily Mail,Featured Stories,'Obama kept them in cages',"Sun, 24 Jun 2018 12:16:32 +0000",infowars,Trump tweets images of Obama-era family migrant holding centers,https://www.infowars.com/trump-tweets-images-of-obama-era-family-migrant-holding-centers/
