,author,category,description,publishedAt,source,title,url
0,The Hill,Featured Stories,"Insurrection by GOP leadership and inner circle necessary to stop president, he says.","Sat, 23 Jun 2018 19:00:31 +0000",infowars,Ex-CIA Chief Calls on WH Cabinet To Revolt Against Trump,https://www.infowars.com/ex-cia-chief-calls-on-wh-cabinet-to-revolt-against-trump/
1,Jon Bowne,Featured Stories,They speak very differently when it’s not an election year.,"Sat, 23 Jun 2018 16:24:00 +0000",infowars,Democrats Manufactured Border Hysteria For Midterms,https://www.infowars.com/democrats-manufactured-border-hysteria-for-midterms/
2,The Hill,Featured Stories,"'Recession is a survivable event. What Trump is doing to this country is not,' he says.","Sat, 23 Jun 2018 16:14:14 +0000",infowars,Video: Maher Doubles Down On Wishing For Crashed Economy,https://www.infowars.com/video-maher-doubles-down-on-wishing-for-crashed-economy/
3,Zero Hedge,Featured Stories,Another Hollywood loony obsessed with overthrowing duly elected president.,"Sat, 23 Jun 2018 16:06:46 +0000",infowars,Watch: Tom Arnold Trainwreck On CNN As Cohen Denies ‘Trump Take-Down’ Plan,https://www.infowars.com/watch-tom-arnold-trainwreck-on-cnn-as-cohen-denies-trump-take-down-plan/
4,Daily Caller,Featured Stories,"Meeting was just 'chance, public encounter in the hotel lobby' he says.","Sat, 23 Jun 2018 15:49:56 +0000",infowars,Michael Cohen Destroys Tom Arnold Lie He’ll Flip on Trump,https://www.infowars.com/michael-cohen-destroys-tom-arnold-lie-hell-flip-on-trump/
5,Reuters,Featured Stories,Globalist push to remain in EU on second anniversary of Brexit.,"Sat, 23 Jun 2018 15:37:06 +0000",infowars,Anti-Brexit Demonstrators March in London Demanding New Referendum,https://www.infowars.com/anti-brexit-demonstrators-march-in-london-demanding-new-referendum/
6,The Washington Times,Featured Stories,Considers hiding American roots during Ireland visit.,"Sat, 23 Jun 2018 15:29:35 +0000",infowars,‘Ashamed’ Comey Weighs Calling Self Canadian Over Trump’s Border Actions,https://www.infowars.com/ashamed-comey-weighs-calling-self-canadian-over-trumps-border-actions/
7,Newsmax,Featured Stories,"Hospitalized and facing numerous surgeries, one other dead.","Sat, 23 Jun 2018 15:15:01 +0000",infowars,SC Primary Winner Katie Arrington Seriously Injured in Head-On Car Crash,https://www.infowars.com/sc-primary-winner-katie-arrington-seriously-injured-in-head-on-car-crash/
8,The Washington Times,Featured Stories,Return fulfills commitment by Kim Jong-un at Singapore Summit.,"Sat, 23 Jun 2018 15:03:53 +0000",infowars,"Pentagon Prepares Return of Korean War Dead, Sends 100 Caskets to DMZ",https://www.infowars.com/pentagon-prepares-return-of-korean-war-dead-sends-100-caskets-to-dmz/
9,Daily Caller,Featured Stories,"'Real separation' is a 'coffin and six feet of dirt,' she says.","Sat, 23 Jun 2018 14:52:52 +0000",infowars,Video: Angel Mom Puts Immigrant Detention in Perspective,https://www.infowars.com/video-angel-mom-puts-immigrant-detention-in-perspective/
10,Infowars.com,Featured Stories,Check out the new round of submissions by dedicated Infowarriors!,"Sat, 23 Jun 2018 13:33:24 +0000",infowars,Infowars Recruitment Drive & Reporter Contest 2018 Submissions,https://www.infowars.com/infowars-recruitment-drive-reporter-contest-2018-submissions/
11,American Mirror,Featured Stories,"Now he’s got a book deal, and publicists — and armed guards.","Sat, 23 Jun 2018 11:12:51 +0000",infowars,Anti-gun protester David Hogg — protected by armed guards?,https://www.infowars.com/anti-gun-protester-david-hogg-protected-by-armed-guards/
12,Daily Caller,Featured Stories,There is no record of Michelle Obama making a public visit to any child detention center.,"Sat, 23 Jun 2018 11:05:54 +0000",infowars,Melania Trump Has Visited 100 Percent More Child Detention Centers Than Michelle Obama,https://www.infowars.com/melania-trump-has-visited-100-percent-more-child-detention-centers-than-michelle-obama/
13,Breitbart,Featured Stories,"If approved, it would not be the first time unaccompanied migrant children are housed at military bases.","Sat, 23 Jun 2018 11:02:40 +0000",infowars,"Pentagon Asked to House 20,000 Unaccompanied Migrant Children",https://www.infowars.com/pentagon-asked-to-house-20000-unaccompanied-migrant-children/
14,The Hill,Featured Stories,The Trump administration’s immigration priorities are toppling the dysfunctional status quo in Washington.,"Sat, 23 Jun 2018 10:55:17 +0000",infowars,Americans have been played again by open-border advocates,https://www.infowars.com/americans-have-been-played-again-by-open-border-advocates/
15,Zero Hedge,Featured Stories,"""She [Hillary] better win... otherwise i'm gonna be walking around with both of my guns."" ","Sat, 23 Jun 2018 10:50:51 +0000",infowars,Meet Mystery FBI “Agent 5” Who Sent Anti-Trump Texts While On Clinton Taint Team,https://www.infowars.com/meet-mystery-fbi-agent-5-who-sent-anti-trump-texts-while-on-clinton-taint-team/
