,author,description,publishedAt,source,title,url,urlToImage
2804,,Canada's threat to reciprocate on new U.S. import tariffs could even extend to something as benign as maple syrup; Kevin Corke reports from the White House.,2018-06-04T22:16:16Z,fox news,"Trade tensions rise between US, Canada",http://video.foxnews.com/v/5793504634001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/04/640/360/694940094001_5793503584001_5793504634001-vs.jpg
2805,Gregg Re,"Fox News 'Reckless' Sen. Merkley 'spreading blatant lies' in failed attempt to enter immigrant detention center, WH says Fox News A Democratic senator who recorded his dramatic, unsuccessful effort to enter a federal immigration facility in Texas on video ove…",2018-06-04T22:12:56Z,fox news,"'Reckless' Sen. Merkley 'spreading blatant lies' in failed attempt to enter immigrant detention center, WH says - Fox News",http://www.foxnews.com/politics/2018/06/04/reckless-sen-merkley-spreading-blatant-lies-in-failed-attempt-to-enter-immigrant-detention-center-wh-says.html,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/04/0/0/694940094001_5793502727001_5793501725001-vs.jpg?ve=1
2806,Associated Press,"Canadian police say a bus ran off the road in eastern Ontario and at least 24 people have been hospitalized, four with life-threatening injuries.",2018-06-04T22:09:41Z,fox news,Canadian police say at least 24 people injured in bus crash,http://www.foxnews.com/world/2018/06/04/canadian-police-say-at-least-24-people-injured-in-bus-crash.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/world/2018/06/04/canadian-police-say-at-least-24-people-injured-in-bus-crash/_jcr_content/par/featured-media/media-0.img.png/0/0/1528151286576.png?ve=1
2807,,The court's decision in favor of a Colorado baker who refused to make a custom cake for a same-sex couple leaves a lot of unanswered questions; Shannon Bream reports.,2018-06-04T22:09:32Z,fox news,Supreme Court sides with baker in narrow ruling,http://video.foxnews.com/v/5793501742001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/04/640/360/694940094001_5793503579001_5793501742001-vs.jpg
2808,,President Trump says he can pardon himself but is innocent; chief White House correspondent John Roberts reports from Washington.,2018-06-04T22:07:56Z,fox news,Trump begins 500th day in office by reigniting powers debate,http://video.foxnews.com/v/5793489472001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/04/640/360/694940094001_5793503577001_5793489472001-vs.jpg
2809,,CEO of American Airlines Doug Parker warns of higher airfares if oil prices continue to rise; FBN's Jeff Flock reports from Chicago.,2018-06-04T21:41:12Z,fox news,American Airlines CEO responds to rising cost of jet fuel,http://video.foxnews.com/v/5793490664001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/04/640/360/694940094001_5793498338001_5793490664001-vs.jpg
2810,,President Trump has deranged the media ghouls to a point that they barely have any humanity left.,2018-06-04T21:30:30Z,fox news,Gutfeld on the media's obsession with Melania's whereabouts,http://video.foxnews.com/v/5793492827001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/04/640/360/694940094001_5793498308001_5793492827001-vs.jpg
2811,,"The economy is booming, the North Korea summit is back on and President Trump is rebuilding the military, but the special counsel's investigation continues to hang over the presidency; reaction and analysis on 'The Five.'",2018-06-04T21:21:48Z,fox news,Russia probe clouds Trump's '500 days of American greatness',http://video.foxnews.com/v/5793489402001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/04/640/360/694940094001_5793491197001_5793489402001-vs.jpg
2812,,"Iowa soybean farmer Ron Heck reacts to growing trade tensions between U.S. and China; Connell McShane reports from Ogden, Iowa.",2018-06-04T21:09:00Z,fox news,Potential trade war hitting US soybean farmers,http://video.foxnews.com/v/5793487302001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/04/640/360/694940094001_5793491117001_5793487302001-vs.jpg
2813,,Apple looks to combat iPhone addiction with new software that helps monitor digital usage; psychotherapist and author Tom Kersting reacts on 'Your World.',2018-06-04T21:04:20Z,fox news,Is more technology the best way to prevent iPhone addiction?,http://video.foxnews.com/v/5793484742001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/04/640/360/694940094001_5793498315001_5793484742001-vs.jpg
2814,,The media is covering First Lady Melania Trump as being missing in action despite being seen last week.,2018-06-04T20:58:33Z,fox news,Media claims First Lady Melania Trump missing,http://video.foxnews.com/v/5793484150001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/04/640/360/694940094001_5793487094001_5793484150001-vs.jpg
2815,,"Anticipation building ahead of key congressional primaries in five states across the country, including California; RealClearPolitics' Tom Bevan joins 'Your World' with insight.",2018-06-04T20:56:57Z,fox news,Will California determine if Democrats take back the House?,http://video.foxnews.com/v/5793480538001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/04/640/360/694940094001_5793487105001_5793480538001-vs.jpg
2816,Associated Press,A federal court in Mexico has ordered that the investigation into the 2014 disappearance of 43 college students be done again under the supervision of a truth commission.,2018-06-04T20:45:50Z,fox news,Mexican court orders new investigation into missing students,http://www.foxnews.com/world/2018/06/04/mexican-court-orders-new-investigation-into-missing-students.html,http://global.fncstatic.com/static/orion/styles/img/fox-news/og/og-fox-news.png
2817,FOX News Radio,"No Piece of Cake! The Supreme Court ruled Monday in favor of a Colorado baker who refused to make a wedding cake for a same-sex couple, in one of the most closely watched cases of the term. In a 7-2 decision, the justices set aside a Colorado court ruling aga…",2018-06-04T20:45:00Z,fox news,"Former Secretary of Homeland Security, Jeh Johnson & FNC Senior Judicial Analyst Judge Andrew Napolitano",https://radio.foxnews.com/2018/06/04/benson-and-harf-06-04-18/,https://radio.foxnews.com/wp-content/uploads/2016/07/news_banner_featured_image-150x150.jpg
2818,,House Judiciary Committee Member and Florida congressman Matt Gaetz joins 'Your World' to weigh in on the Russia probe and President Trump's tweet asserting his power to pardon himself.,2018-06-04T20:44:32Z,fox news,Rep. Gaetz: Unwise for President Trump to pardon himself now,http://video.foxnews.com/v/5793478058001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/04/640/360/694940094001_5793481407001_5793478058001-vs.jpg
2819,Todd Starnes Show,"Todd Starnes spoke with author and filmmaker Dinesh D'Souza about his recent pardon by President Trump and explained the tactics used by ""the scary fascism of the left"" to target conservatives. ""The really scary fascism of the left is when they deploy the IRS…",2018-06-04T20:40:27Z,fox news,Dinesh D’Souza Describes “The Scary Fascism Of The Left”,https://radio.foxnews.com/2018/06/04/dinesh-dsouza-describes-the-scary-fascism-of-the-left/,https://radio.foxnews.com/wp-content/uploads/2018/06/Dinesh.jpg
2820,Todd Starnes Show,"Todd Starnes spoke with Kellyanne Conway, Counselor to the President, to get her reaction to the Supreme Court ruling Monday in favor of Colorado baker Jack Phillips, who refused to make a wedding cake for a same-sex couple. ""I constantly heard how the Suprem…",2018-06-04T20:38:59Z,fox news,The White House Reacts To The Masterpiece Cakeshop Decision,https://radio.foxnews.com/2018/06/04/the-white-house-reacts-to-the-masterpiece-cakeshop-decision/,https://radio.foxnews.com/wp-content/uploads/2016/12/24981138e3624c1889e3ab54d8f7ad86.jpg
