,author,category,description,publishedAt,source,title,url
0,Infowars.com,Featured Stories,Former president conveniently forgets he detained illegal children in cages.,"Wed, 20 Jun 2018 18:59:01 +0000",infowars,Hypocrisy: Obama Leverages Illegal Detentions to Campaign Against Trump,https://www.infowars.com/hypocrisy-obama-leverages-illegal-detentions-to-campaign-against-trump/
1,Infowars.com,Featured Stories,"Trump was elected to deal with illegal immigration, he says","Wed, 20 Jun 2018 18:28:31 +0000",infowars,Farage to Trump: ‘Ignore All The Screams’ From MSM on Immigration,https://www.infowars.com/farage-to-trump-ignore-all-the-screams-from-msm-on-immigration/
2,The Alex Jones Show,Special Reports,Learn about the evil elite who want to destroy humanity.,"Wed, 20 Jun 2018 18:07:49 +0000",infowars,BREAKING: Satanic Vampire Network Ruling Planet Earth,https://www.infowars.com/breaking-satanic-vampire-network-ruling-planet-earth/
3,Paul Joseph Watson,Featured Stories,"""The news media's fanning the flames"".","Wed, 20 Jun 2018 18:01:33 +0000",infowars,"Rush Limbaugh Warns: ‘If the Media Keeps Generating This Hysteria, Somebody’s Gonna Get Killed’",https://www.infowars.com/rush-limbaugh-warns-if-the-media-keeps-generating-this-hysteria-somebodys-gonna-get-killed/
4,Mikael Thalen,Featured Stories,Tour guide says he's never seen anti-American content 'completely disappear before',"Wed, 20 Jun 2018 17:59:32 +0000",infowars,"Anti-U.S. Propaganda Has ‘Disappeared’ From North Korea, Tour Guides Say",https://www.infowars.com/anti-u-s-propaganda-has-disappeared-from-north-korea-tour-guides-say/
5,New York Post,Hot News,Zolkowski reportedly admitted to making up the alleged rape.,"Wed, 20 Jun 2018 17:47:37 +0000",infowars,College Student who Lied about Campus Rape Sentenced to Jail,https://www.infowars.com/college-student-who-lied-about-campus-rape-sentenced-to-jail/
6,Owen Shroyer,Featured Stories,POTUS receiving praise for North Korea negotiations.,"Wed, 20 Jun 2018 17:46:10 +0000",infowars,Austinites Believe Trump Should Get The Nobel Peace Prize,https://www.infowars.com/austinites-believe-trump-should-get-the-nobel-peace-prize/
7,Infowars.com,Featured Stories,Number of attacks &#038; foiled plots more than doubled since last year,"Wed, 20 Jun 2018 17:25:59 +0000",infowars,Home-Grown Terror Attacks on the Rise in Europe,https://www.infowars.com/home-grown-terror-attacks-on-the-rise-in-europe/
8,RT,World at War,Turkey says US Congress votes hold no value,"Wed, 20 Jun 2018 17:23:35 +0000",infowars,Pentagon Ignores US Lawmakers for Turkey Jet Deal,https://www.infowars.com/pentagon-ignores-us-lawmakers-for-turkey-jet-deal/
9,The Alex Jones Show,Special Reports,Hidden technology could soon be revealed.,"Wed, 20 Jun 2018 17:19:31 +0000",infowars,‘Space Force’ Is The Start Of Trump Declassifying US Secret Space Program,https://www.infowars.com/space-force-is-the-start-of-trump-declassifying-us-secret-space-program/
10,The Next Web,Featured Stories,The European Parliament Committee on Legal Affairs just voted ‘yes’ on highly controversial new Copyright Reform.,"Wed, 20 Jun 2018 17:16:10 +0000",infowars,EU Votes For Memes Ban And Censorship Machines — What Now?,https://www.infowars.com/eu-votes-for-memes-ban-and-censorship-machines-what-now/
11,The Alex Jones Show,Special Reports,This is the moment you've been warned about.,"Wed, 20 Jun 2018 17:03:42 +0000",infowars,VIDEO: EU Announces Plan To End The Internet Via Article 13 And 11,https://www.infowars.com/video-eu-announces-plan-to-end-the-internet-via-article-13-and-11/
12,Reuters,Government,Policy described as pre-emptive maneuver regarding family separation,"Wed, 20 Jun 2018 17:00:35 +0000",infowars,Trump to Sign New Immigration Border Policy,https://www.infowars.com/trump-to-sign-new-immigration-border-policy/
