,author,category,description,publishedAt,source,title,url
0,Westmonster,Globalism,"Over 1,000 cases between January, March","Fri, 22 Jun 2018 16:04:17 +0000",infowars,Female Genital Mutilation Crisis in England,https://www.infowars.com/female-genital-mutilation-crisis-in-england/
1,Dan Lyman,Featured Stories,But new Italian leadership fights back against accusations,"Fri, 22 Jun 2018 15:57:28 +0000",infowars,Macron: “Leprosy” of Populism Spreading Across Europe,https://www.infowars.com/macron-leprosy-of-populism-spreading-across-europe/
2,Voice of Europe,Globalism,"Cause reportedly migrant pickpockets, poor organization","Fri, 22 Jun 2018 15:55:25 +0000",infowars,Italian Prosecutors Crack Down on Officials After Soccer Tragedy,https://www.infowars.com/italian-prosecutors-crack-down-on-officials-after-soccer-tragedy/
3,Owen Shroyer,Special Reports,Internet censorship continues as the establishment gets more desperate.,"Fri, 22 Jun 2018 15:48:45 +0000",infowars,Outlaw Morgan Gets Banned From Facebook,https://www.infowars.com/outlaw-morgan-gets-banned-from-facebook/
4,Hungary Journal,Globalism,Says Hungary has tools to thwart migration,"Fri, 22 Jun 2018 15:42:36 +0000",infowars,Orban Claims Border Security Independence,https://www.infowars.com/orban-claims-border-security-independence/
5,Daily Mail,Science & Tech,Theory of relativity proven outside our solar system,"Fri, 22 Jun 2018 15:25:59 +0000",infowars,Ground-Breaking Gravity Experiment Proves Einstein Right,https://www.infowars.com/ground-breaking-gravity-experiment-proves-einstein-right/
6,Steve Watson ,Featured Stories,"""If you vote for Trump, you are ripping children from parents’ arms”","Fri, 22 Jun 2018 14:14:19 +0000",infowars,MSNBC Analyst: Trump Supporters Are Like NAZI Guards,https://www.infowars.com/msnbc-analyst-trump-supporters-are-like-nazi-guards-if-you-vote-for-trump-you-are-ripping-children-from-parents-arms/
7,Mikael Thalen,Featured Stories,"Despite incidents in both Cuba and China, U.S. officials have yet to find the source","Fri, 22 Jun 2018 14:13:30 +0000",infowars,U.S. Embassy in Cuba Sees 25th Victim of Mysterious Attack,https://www.infowars.com/u-s-embassy-in-cuba-sees-25th-victim-of-mysterious-attack/
8,Infowars,Featured Stories,Alex asks his long time friend to double check his facts.,"Fri, 22 Jun 2018 13:41:57 +0000",infowars,Alex Jones Calls Out Joe Rogan For Defending George Soros,https://www.infowars.com/alex-jones-calls-out-joe-rogan-for-defending-george-soros/
9,Infowars.com,Featured Stories,POTUS called out Democrats on Twitter.,"Fri, 22 Jun 2018 13:09:52 +0000",infowars,Watch Live: Trump Demands Deal On Immigration,https://www.infowars.com/watch-live-trump-demands-deal-on-immigration/
10,Joyce Lee ,World News,'The whole world is marveling at the amazing developments between the North and South',"Fri, 22 Jun 2018 12:37:43 +0000",infowars,North and South Korea discuss reunion meetings for divided families,https://www.infowars.com/north-and-south-korea-discuss-reunion-meetings-for-divided-families/
11,Natalie Johnson ,Government,Huawei's partnerships with more than 50 U.S. universities 'may pose a significant threat to national security',"Fri, 22 Jun 2018 12:35:16 +0000",infowars,Pentagon Investigating Chinese Research Partnerships With U.S. Universities,https://www.infowars.com/pentagon-investigating-chinese-research-partnerships-with-u-s-universities/
