,author,description,publishedAt,source,title,url,urlToImage
2299,Fox News,Emmy-winning actor Alec Baldwin said Monday he would easily win against President Donald Trump if he’d run in the 2020 presidential election.,2018-06-12T04:22:00Z,fox news,Alec Baldwin says he 'would absolutely win' against Trump in 2020 election,http://www.foxnews.com/entertainment/2018/06/12/alec-baldwin-says-would-absolutely-win-against-trump-in-2020-election.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/entertainment/2018/06/12/alec-baldwin-says-would-absolutely-win-against-trump-in-2020-election/_jcr_content/par/featured_image/media-0.img.jpg/0/0/1528777628624.jpg?ve=1
2300,Edmund Demarche,The father of a four-year-old girl who bravely fought n inoperable brain tumor posted his last picture of his six-year-old son comforting the girl in her final moments.,2018-06-12T04:10:09Z,fox news,"Photo of boy, 6, comforting sister dying of rare brain cancer goes viral",http://www.foxnews.com/health/2018/06/12/photo-boy-6-comforting-sister-dying-rare-brain-cancer-goes-viral.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/health/2018/06/12/photo-boy-6-comforting-sister-dying-rare-brain-cancer-goes-viral/_jcr_content/par/featured_image/media-0.img.jpg/0/0/1528776255854.jpg?ve=1
2301,Associated Press,The players race down the field chasing a soccer ball and trying to kick it into their opponents' goal.,2018-06-12T04:03:12Z,fox news,"Ahead of World Cup, amputee soccer teams compete in Ecuador",http://www.foxnews.com/world/2018/06/12/ahead-world-cup-amputee-soccer-teams-compete-in-ecuador.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/world/2018/06/12/ahead-world-cup-amputee-soccer-teams-compete-in-ecuador/_jcr_content/par/featured-media/media-0.img.png/0/0/1528776774277.png?ve=1
2302,Associated Press,"Hurricane Bud strengthened into a Category 3 storm off Mexico's Pacific coast and could gain some more power during the early hours of Tuesday, though forecasters predicted it would soon begin weakening as it moved over cooler waters on a path toward the reso…",2018-06-12T04:01:35Z,fox news,Hurricane Bud expected to weaken as it heads for Baja,http://www.foxnews.com/world/2018/06/12/hurricane-bud-expected-to-weaken-as-it-heads-for-baja.html,http://global.fncstatic.com/static/orion/styles/img/fox-news/og/og-fox-news.png
2303,,"After much anticipation, President Trump met with North Korean dictator Kim Jong Un. Here’s a look at some of the highlights of the historic meeting.",2018-06-12T03:25:57Z,fox news,Highlights of President Trump’s summit with dictator Kim Jong Un,http://video.foxnews.com/v/5796420494001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/12/640/360/694940094001_5796425037001_5796420494001-vs.jpg
2304,Associated Press,"Stamped with images of ""Eternal President"" Kim Il Sung, national monuments or even ballistic missiles, coins minted in North Korea are renowned among collectors for their scarcity, partly due to international sanctions that outlaw them from being auctioned.",2018-06-12T03:25:19Z,fox news,Singapore Postcard: Summit adds value to North Korea's coins,http://www.foxnews.com/world/2018/06/11/singapore-postcard-summit-adds-value-to-north-koreas-coins.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/world/2018/06/11/singapore-postcard-summit-adds-value-to-north-koreas-coins/_jcr_content/par/featured-media/media-0.img.png/0/0/1528774080097.png?ve=1
2305,,Kinzinger says Kim Jong Un knows the president has put a red line down. Republican congressman from Illinois sounds off on 'Fox News @ Night.',2018-06-12T03:13:27Z,fox news,Rep. Kinzinger: Trump-Kim summit is 'absolutely historic',http://video.foxnews.com/v/5796412920001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/12/640/360/694940094001_5796424990001_5796412920001-vs.jpg
2306,Tyler McCarthy,"Former ""Dukes of Hazzard"" and ""Smallville"" star John Schneider is facing some jail time over unpaid spousal support.",2018-06-12T02:59:00Z,fox news,'Dukes of Hazzard' star John Schneider reportedly facing jail time,http://www.foxnews.com/entertainment/2018/06/11/dukes-hazzard-star-john-schneider-reportedly-facing-jail-time.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/entertainment/2018/06/11/dukes-hazzard-star-john-schneider-reportedly-facing-jail-time/_jcr_content/par/featured_image/media-0.img.jpg/0/0/1528761549820.jpg?ve=1
2307,Gregg Re,"Dennis Rodman, the former NBA star and longtime friend of Kim Jong Un who has visited North Korea several times, broke down in tears during a televised interview as President Trump and Kim met alone in a hotel on Sentosa Island.",2018-06-12T02:45:00Z,fox news,"Weeping Dennis Rodman praises Trump's meeting with friend Kim Jong Un, blasts Obama for ignoring him",http://www.foxnews.com/politics/2018/06/11/weeping-dennis-rodman-praises-trumps-meeting-with-friend-kim-jong-un-blasts-obama-for-ignoring-him.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/politics/2018/06/11/weeping-dennis-rodman-praises-trumps-meeting-with-friend-kim-jong-un-blasts-obama-for-ignoring-him/_jcr_content/par/featured_image/media-0.img.png/0/0/1528769984311.png?ve=1
2308,,"Former U.S. presidents have tried their hand at diplomacy with the regime, but how might Trump be different? Panel debates on 'The Ingraham Angle.'",2018-06-12T02:36:14Z,fox news,How Trump differs from past presidents on North Korea,http://video.foxnews.com/v/5796413672001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/12/640/360/694940094001_5796414936001_5796413672001-vs.jpg
2309,Associated Press,Fox News Some lava evacuees may return to homes during 'stable' flow Fox News HONOLULU – Officials on Hawaii's Big Island let some people back into their homes and scaled down emergency operations Monday as lava flowed into the ocean on a path that wasn't thr…,2018-06-12T02:10:08Z,fox news,Some lava evacuees may return to homes during 'stable' flow - Fox News,http://www.foxnews.com/us/2018/06/11/hawaii-volcano-unleashes-more-small-blasts-snaking-lava.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/us/2018/06/11/hawaii-volcano-unleashes-more-small-blasts-snaking-lava/_jcr_content/par/featured-media/media-0.img.png/0/0/1528749490296.png?ve=1
