,author,category,description,publishedAt,source,title,url
71,Alex Jones ,Featured Stories,Call for harm on children advocated by leftist,"Wed, 20 Jun 2018 15:49:34 +0000",infowars,Watch: Actor Peter Fonda Calls For Stalking Border Patrol Agents’ Children,https://www.infowars.com/actor-peter-fonda-calls-for-stalking-border-patrol-agents-children/
72,Owen Shroyer & Savanah Hernandez ,Special Reports,Only a drop in the bucket of phony anti-Trump hit pieces.,"Wed, 20 Jun 2018 15:39:59 +0000",infowars,50 Fake News Stories The Media Reported About Trump,https://www.infowars.com/50-fake-news-stories-the-media-reported-about-trump/
73,Paul Joseph Watson,Featured Stories,"""Deport the contemptible Republican cowards"".","Wed, 20 Jun 2018 15:38:31 +0000",infowars,Never Trump “Conservatives” Want to Replace Pro-Trump Republicans With Illegal Immigrants,https://www.infowars.com/never-trump-conservatives-want-to-replace-pro-trump-republicans-with-illegal-immigrants/
74,Voice of Europe,Globalism,Elementary kids punished if they refused,"Wed, 20 Jun 2018 15:28:09 +0000",infowars,Catholic Children Forced to Learn Islamic Songs at Austrian School,https://www.infowars.com/catholic-children-forced-to-learn-islamic-songs-at-austrian-school/
75,Mikael Thalen,Featured Stories,Cybersecurity firm: Hacking group's 'motives go beyond spying and may also include disruption',"Wed, 20 Jun 2018 15:21:48 +0000",infowars,Suspected Chinese Hackers Target Computers Used to Control Satellites,https://www.infowars.com/suspected-chinese-hackers-target-computers-used-to-control-satellites/
76,Clifford Cunningham,Featured Stories,"MSNBC's go-to ""Republican"" contributor calls Dems ""only party to stand for what is right""","Wed, 20 Jun 2018 15:09:27 +0000",infowars,MSNBC’s Token Republican Exits GOP,https://www.infowars.com/msnbcs-token-republican-exits-gop/
77,Steve Watson ,Featured Stories,"""This is how Hitler came to power.""","Wed, 20 Jun 2018 14:05:11 +0000",infowars,Trump Hugged The US Flag And Deranged Leftists Went Ape,https://www.infowars.com/trump-hugged-the-us-flag-and-deranged-leftists-went-ape/
78,Frontpage Mag,Featured Stories,"Hispanic, black and white children torn away from American families","Wed, 20 Jun 2018 13:16:07 +0000",infowars,Illegal Aliens Fatally Separate American Parents and Children,https://www.infowars.com/illegal-aliens-fatally-separate-american-parents-and-children/
79,Infowars.com,Featured Stories,The globalists are losing their battle against Trump.,"Wed, 20 Jun 2018 13:12:02 +0000",infowars,"Watch Live: Actor Peter Fonda Calls For Barron Trump To Be Kidnapped, Assaulted By Pedophiles!",https://www.infowars.com/watch-live-fbi-corruption-still-funded-by-deep-state/
80,Rex Jones ,Featured Stories,Illegal immigrants fed better than U.S. children under Michelle Obama lunch program,"Wed, 20 Jun 2018 12:53:06 +0000",infowars,US School Kids Wish They Had The Same Lunches As Migrant Children,https://www.infowars.com/us-school-kids-wish-they-had-the-same-lunches-as-migrant-children/
81,Paul Joseph Watson,Featured Stories,"""We should find out what schools they go to....scare the shit out of them, make their children worry"".","Wed, 20 Jun 2018 12:20:42 +0000",infowars,Actor Peter Fonda Encourages Targeting Children of Border Patrol & ICE Agents,https://www.infowars.com/actor-peter-fonda-encourages-targeting-children-of-border-patrol-ice-agents/
82,Daily Caller,Featured Stories,“Some enterprising hero archived the ICE employees listed on linkedin.”,"Wed, 20 Jun 2018 11:45:27 +0000",infowars,Antifa Spreads List Of ICE Agents Compiled Using LinkedIn And Blasts It Over Twitter,https://www.infowars.com/antifa-spreads-list-of-ice-agents-compiled-using-linkedin-and-blasts-it-over-twitter/
83,Reuters,Featured Stories,Vatican was silent on issue during previous administrations,"Wed, 20 Jun 2018 11:43:47 +0000",infowars,Globalist Pope Criticizes Trump Administration For Migrant Family Separation,https://www.infowars.com/globalist-pope-criticizes-trump-administration-for-migrant-family-separation/
84,Breitbart,Featured Stories,"Feinstein’s “Keep Families Together Act” would “essentially prevent arrest within 100 miles of the border, even if the person has committed a serious crime or is suspected of terrorist activities.”","Wed, 20 Jun 2018 11:41:24 +0000",infowars,Report: Diane Feinstein’s Immigration Bill Would Prevent Almost Every Federal Arrest,https://www.infowars.com/report-diane-feinsteins-immigration-bill-would-prevent-almost-every-federal-arrest/
85,RT,Economy,Chinese investment at lowest level in seven years,"Wed, 20 Jun 2018 11:40:51 +0000",infowars,China Cuts US Investments By 92% Amid Escalating Trade War,https://www.infowars.com/china-cuts-us-investments-by-92-amid-escalating-trade-war/
86,Fox News,Featured Stories,Leftist developer attempts to doxx ICE agents,"Wed, 20 Jun 2018 11:40:33 +0000",infowars,Anti-Trump Professor Thwarted In Bid to Share ICE Employee Data,https://www.infowars.com/anti-trump-professor-thwarted-in-bid-to-share-ice-employee-data/
87,Breitbart,Featured Stories,“No borders! No walls! Sanctuary for all!”,"Wed, 20 Jun 2018 11:37:35 +0000",infowars,WATCH – Activists Shouting ‘No Borders! No Walls!’ Harass DHS Sec. Nielsen at Restaurant,https://www.infowars.com/watch-activists-shouting-no-borders-no-walls-harass-dhs-sec-nielsen-at-restaurant/
88,Reuters,World at War,Islamic State militants have manufactured ricin in the past,"Wed, 20 Jun 2018 11:32:21 +0000",infowars,German intelligence says Islamists could attack with ricin,https://www.infowars.com/german-intelligence-says-islamists-could-attack-with-ricin/
89,Ayaz Gul ,World at War,30 personnel when convoy was ambushed by Taliban fighters,"Wed, 20 Jun 2018 11:29:35 +0000",infowars,"Taliban, in Pre-Dawn Attack, Breaks Afghanistan’s Eid Ceasefire",https://www.infowars.com/taliban-in-pre-dawn-attack-breaks-afghanistans-eid-ceasefire/
90,Bill Gertz ,World News,White House exposes Chinese economic aggression,"Wed, 20 Jun 2018 11:27:51 +0000",infowars,China Industrial Policy Seeks to Steal ‘Crown Jewels’ of U.S. Tech,https://www.infowars.com/china-industrial-policy-seeks-to-steal-crown-jewels-of-u-s-tech/
91,Himanshu Goenka ,Science & Tech,Bithumb also hacked in July 2017 when over $1 million worth of cryptocurrencies was stolen,"Wed, 20 Jun 2018 11:21:30 +0000",infowars,"Bithumb Cryptocurrency Exchange Hacked, $31 Million Of Tokens Stolen",https://www.infowars.com/bithumb-cryptocurrency-exchange-hacked-31-million-of-tokens-stolen/
92,The Hill,Health,Children in foster or state care has risen 15 to 30 percent in last four years,"Wed, 20 Jun 2018 11:18:52 +0000",infowars,Opioid crisis sending thousands of children into foster care,https://www.infowars.com/opioid-crisis-sending-thousands-of-children-into-foster-care/
93,Joe Schoffstall ,U.S. News,Left-wing group has come under fire for its 'hate' designations,"Wed, 20 Jun 2018 11:17:15 +0000",infowars,Southern Poverty Law Center Has More Than $90 Million In Offshore Funds,https://www.infowars.com/southern-poverty-law-center-has-more-than-90-million-in-offshore-funds/
94,The Last Refuge,Featured Stories,Massive illegal immigration is supported by both sides of the professional political machine.,"Wed, 20 Jun 2018 11:16:31 +0000",infowars,Illegal Immigration and Lax Border Controls are The Epicenter of The UniParty,https://www.infowars.com/illegal-immigration-and-lax-border-controls-are-the-epicenter-of-the-uniparty/
95,VOA News,World News,President Xi welcomed the young North Korean leader Tuesday,"Wed, 20 Jun 2018 11:13:53 +0000",infowars,N. Korean Leader Kim Jong Un Ends Two-Day Trip to China,https://www.infowars.com/n-korean-leader-kim-jong-un-ends-two-day-trip-to-china/
96,Reuters,Science & Tech,"'We cannot go back to the world of levers, pulleys and couriers'","Wed, 20 Jun 2018 11:12:26 +0000",infowars,Israel’s Netanyahu warns of cyber risks that can down fighter jets,https://www.infowars.com/israels-netanyahu-warns-of-cyber-risks-that-can-down-fighter-jets/
97,Chris Menahan  ,Featured Stories,'People of light' say term 'white' is racist &#038; outdated,"Wed, 20 Jun 2018 11:11:19 +0000",infowars,‘People Of Light’: New Campaign Seeks To Redefine What It Means To Be ‘White’,https://www.infowars.com/people-of-light-new-campaign-seeks-to-redefine-what-it-means-to-be-white/
98,Michael Snyder  ,Featured Stories,"Females are dramatically outperforming males on every educational level, and many are wondering what this means for our future.","Wed, 20 Jun 2018 10:59:05 +0000",infowars,"Females Are Outperforming Males On Every Educational Level, And That Has Staggering Implications For The Future Of Our Society",https://www.infowars.com/females-are-outperforming-males-on-every-educational-level-and-that-has-staggering-implications-for-the-future-of-our-society/
99,Paul Joseph Watson,Featured Stories,The real reasons Europe is being swamped.,"Tue, 19 Jun 2018 23:51:27 +0000",infowars,VIDEO: What They’re Not Telling You About the Migrant Crisis,https://www.infowars.com/video-what-theyre-not-telling-you-about-the-migrant-crisis/
