,author,category,description,publishedAt,source,title,url
25,Nick Etten ,Health,Nothing being done to to provide access to medical cannabis for the nine million veterans who rely on the VHA,"Tue, 26 Jun 2018 13:38:09 +0000",infowars,Veterans are left out of medical marijuana protections,https://www.infowars.com/veterans-are-left-out-of-medical-marijuana-protections/
26,Reuters,World News,'France would then be ready to send a team there to study individual (asylum) requests',"Tue, 26 Jun 2018 13:35:03 +0000",infowars,France says Malta may let migrant rescue ship dock,https://www.infowars.com/france-says-malta-may-let-migrant-rescue-ship-dock/
27,American Thinker,Featured Stories,Spanish learn lesson quickly?,"Tue, 26 Jun 2018 13:29:12 +0000",infowars,"Spain’s Socialist Government Reverses Policy, Refuses ‘Migrant’ Ship",https://www.infowars.com/spains-socialist-government-reverses-policy-refuses-migrant-ship/
28,Infowars.com,Featured Stories,The global are panicking over Trump.,"Tue, 26 Jun 2018 13:07:33 +0000",infowars,Watch Live: It’s Official! Dems Launching Violent Civil War – Captured Documents Detail Enemy’s Attack Plan,https://www.infowars.com/watch-live-big-weed-arrives-fda-approves/
29,Paul Joseph Watson,Featured Stories,"""Will it get worse? Probably"".","Tue, 26 Jun 2018 12:42:48 +0000",infowars,Professor: Civil War in America Has “Already Begun”,https://www.infowars.com/professor-civil-war-in-america-has-already-begun/
30,Reuters,Featured Stories,Feds sorting logistics of detaining families together,"Tue, 26 Jun 2018 12:00:52 +0000",infowars,Illegal Immigrant Parents Not Facing U.S. Prosecution For Now,https://www.infowars.com/illegal-immigrant-parents-not-facing-u-s-prosecution-for-now/
31,Fox News,Featured Stories,"Harley employees, customers angry about production shift","Tue, 26 Jun 2018 11:59:24 +0000",infowars,Trump Warns Harley-Davidson of ‘Big Tax’ If It Sells Back to US,https://www.infowars.com/trump-warns-harley-davidson-of-big-tax-if-it-sells-back-to-us/
32,Sputnik,Featured Stories,Europe taking more responsibility for own security,"Tue, 26 Jun 2018 11:58:32 +0000",infowars,Denmark Signs Up for Two New Military Alliances in “Signal to Trump”,https://www.infowars.com/denmark-signs-up-for-two-new-military-alliances-in-signal-to-trump/
33,Breitbart,Featured Stories,They're in the left’s crosshairs.,"Tue, 26 Jun 2018 11:44:20 +0000",infowars,"Trump Aides Advised to Get Guns, Carry Permits amid Threat of Violence",https://www.infowars.com/trump-aides-advised-to-get-guns-carry-permits-amid-threat-of-violence/
34,Daily Caller,Featured Stories,Miller wasn't even there.,"Tue, 26 Jun 2018 11:31:59 +0000",infowars,"Protesters Gather Outside White House Adviser Stephen Miller’s Apartment, Pass Out ‘Wanted’ Flyers",https://www.infowars.com/protesters-gather-outside-white-house-adviser-stephen-millers-apartment-pass-out-wanted-flyers/
35,American Mirror,Featured Stories,"""The SS is looking into Maxine’s comments that incite violence against @realDonaldTrump &#038; his staff.”","Tue, 26 Jun 2018 11:19:25 +0000",infowars,REPORT: Secret Service ‘looking into’ Maxine Waters call to harass Trump aides,https://www.infowars.com/report-secret-service-looking-into-maxine-waters-call-to-harass-trump-aides/
36,Chris Menahan  ,Featured Stories,Leftists are losing their minds because they're losing their control over our society.,"Tue, 26 Jun 2018 11:00:30 +0000",infowars,"SHOCK: Burned, Decapitated Animal Carcass Left On DHS Staffer’s Porch",https://www.infowars.com/shock-burned-decapitated-animal-carcass-left-on-dhs-staffers-porch/
37,Chris Menahan  ,Featured Stories,President Trump is the funniest man in America.,"Tue, 26 Jun 2018 10:55:43 +0000",infowars,"Trump Mocks ‘Lowlife’ Colbert, ‘Lost Soul’ Fallon, And ‘No Talent’ Kimmel At SC Rally",https://www.infowars.com/trump-mocks-lowlife-colbert-lost-soul-fallon-and-no-talent-kimmel-at-sc-rally/
